horizon,best_model,best_mean_nmae_percent,best_std_nmae_percent,best_worst_nmae_percent,models_with_rolling_validation
15min,Direct Multi-Horizon LR,2.441993182024891,0.1899366599444221,2.768274608344692,4
30min,Linear Regression,3.655019210593165,0.6422211952277421,4.562001351921837,4
1hour,Linear Regression,5.368816737650052,1.0299089377664996,6.84879859918163,4
2hour,Linear Regression,8.472604586822367,2.151084372254539,12.090903947645169,4
4hour,Linear Regression,13.902775954830716,3.9143318609175166,20.68894509327784,4
